date,tr_norm,tr_modfy,tr_right,bb_norm,bb_modfy,bb_right
10/4/2009,0.087597643,0.079763808,0.067426139,-0.74157199,-0.74153021,-0.745395417
13/4/2009,0.053645795,0.046442776,0.031749054,-0.69205699,-0.691008352,-0.687126413
14/4/2009,-0.12008491,-0.123913377,-0.132631484,-0.623772635,-0.620333782,-0.614720964
15/4/2009,-0.175269641,-0.177372694,-0.181392615,-0.172399424,-0.168947317,-0.16591689
16/4/2009,0.105753049,0.101539725,0.09565543,0.202950446,0.204896656,0.206452466
17/4/2009,0.139915026,0.135662562,0.129368676,0.688658408,0.689551462,0.684384589
20/4/2009,-0.001643449,-0.004919888,-0.01095679,0.717907879,0.719244085,0.717523049
21/4/2009,0.079808923,0.076699456,0.069533827,0.694762868,0.696077335,0.696101768
22/4/2009,0.21450057,0.212530646,0.20396743,0.494007054,0.495005237,0.497897927
23/4/2009,-0.060475922,-0.043925365,-0.059465658,-0.301250099,-0.28881946,-0.298497682
24/4/2009,-0.174410148,-0.161423322,-0.171596716,-0.465618468,-0.457508112,-0.460082785
27/4/2009,-0.162868981,-0.152136812,-0.162036054,-0.348145406,-0.347837511,-0.348502472
28/4/2009,-0.160465332,-0.151008687,-0.161685365,-0.499117429,-0.514595655,-0.503918105
29/4/2009,-0.245492147,-0.237131595,-0.246815666,-0.50321489,-0.517240277,-0.504161824
30/4/2009,-0.35437972,-0.347384331,-0.35531101,-0.335654369,-0.355692715,-0.34355998
4/5/2009,-0.267771674,-0.280537754,-0.291196264,0.026663306,0.003752449,0.001991728
5/5/2009,-0.15245071,-0.161734149,-0.174680144,0.280576948,0.262616144,0.25955154
6/5/2009,-0.119866281,-0.130785879,-0.144512343,0.558762517,0.55280421,0.547011803
7/5/2009,-0.350960425,-0.35285124,-0.350129404,0.717011102,0.714921287,0.708895828
8/5/2009,-0.203601642,-0.204416761,-0.200183898,0.695479056,0.697018033,0.694040705
11/5/2009,-0.071565495,-0.071983962,-0.063706097,0.528031495,0.536727449,0.537992751
12/5/2009,-0.262449284,-0.266326789,-0.266363499,0.061139011,0.056839404,0.042910535
13/5/2009,-0.454952012,-0.454284005,-0.446816673,-0.212190856,-0.216552318,-0.228470736
14/5/2009,-0.463824484,-0.462483714,-0.455310514,-0.491021574,-0.489658246,-0.493545331
15/5/2009,-0.251459955,-0.250512287,-0.24968761,-0.593013819,-0.588751543,-0.584419234
18/5/2009,-0.353431007,-0.349576556,-0.347491289,-0.571008518,-0.567297026,-0.556990443
19/5/2009,-0.410137981,-0.406567588,-0.407835099,-0.520950261,-0.516178903,-0.500610969
20/5/2009,-0.518377922,-0.518598699,-0.519584522,-0.498522887,-0.496674004,-0.475177955
21/5/2009,-0.286291328,-0.292491305,-0.300439441,-0.186529205,-0.191026421,-0.167792848
22/5/2009,-0.32973397,-0.33175833,-0.334544853,0.374217027,0.36512497,0.37762542
25/5/2009,-0.415607412,-0.420395506,-0.419911054,0.790796111,0.781418045,0.78398614
26/5/2009,-0.079934395,-0.084401102,-0.105193266,0.676544031,0.674303866,0.700145513
27/5/2009,-0.047708092,-0.048310577,-0.060504842,0.708429252,0.691878085,0.701789983
1/6/2009,0.281351741,0.270281528,0.247653428,0.760301633,0.760535869,0.769280447
2/6/2009,0.275412311,0.252936478,0.21581958,0.802827037,0.790908287,0.791517949
3/6/2009,0.316901645,0.296365025,0.263414984,0.823167864,0.817040629,0.814767555
4/6/2009,0.159423825,0.123334403,0.068915156,0.668114564,0.677796593,0.696018007
5/6/2009,0.292136048,0.267132654,0.226715888,0.405758815,0.424966315,0.460044469
8/6/2009,0.458659413,0.444335033,0.418517342,0.14148375,0.166790291,0.208020249
9/6/2009,0.376259122,0.354263291,0.317545261,-0.24981425,-0.255525436,-0.25981801
10/6/2009,0.062270772,0.008602352,-0.067987563,-0.633361995,-0.659425821,-0.685970775
11/6/2009,0.011692927,-0.042239127,-0.116276463,-0.770022324,-0.773892434,-0.783357637
12/6/2009,0.177240064,0.144145101,0.100241847,-0.882547512,-0.879763155,-0.87261087
15/6/2009,0.02218552,-0.013285075,-0.052002484,-0.875603967,-0.87438238,-0.870911751
16/6/2009,-0.088219251,-0.099809447,-0.12620167,-0.864372933,-0.868762708,-0.870744873
17/6/2009,-0.443972075,-0.433040696,-0.420695317,-0.844383796,-0.845071804,-0.84402085
18/6/2009,-0.181753414,-0.185469642,-0.188961922,-0.692070744,-0.695321543,-0.701202761
19/6/2009,-0.297376585,-0.297709969,-0.299740839,-0.591472093,-0.598714752,-0.610359431
22/6/2009,-0.307627928,-0.307267566,-0.310818857,-0.270738716,-0.275879443,-0.277716249
23/6/2009,-0.587422249,-0.58801391,-0.585027111,-0.068079308,-0.075550229,-0.077974566
24/6/2009,-0.513646126,-0.517883758,-0.514896607,-0.26577848,-0.265323658,-0.267395018
25/6/2009,-0.327486024,-0.328624463,-0.330741286,0.136907613,0.139261606,0.134136943
26/6/2009,0.029091808,0.025085261,0.019247579,0.516881984,0.516907707,0.512363736
29/6/2009,0.11679807,0.114229776,0.10880199,0.710632945,0.711846357,0.714214408
30/6/2009,-0.195539994,-0.197873667,-0.206113526,0.762265701,0.76378678,0.765176636
1/7/2009,-0.093982459,-0.095586171,-0.103329936,0.83571602,0.837137792,0.83833819
2/7/2009,-0.013959915,-0.015357378,-0.022781356,0.754332355,0.756552692,0.761516363
3/7/2009,0.097827805,0.098818362,0.098825396,0.642298833,0.64563571,0.654302871
6/7/2009,-0.099611727,-0.09938672,-0.097022961,0.424641026,0.426957575,0.436070044
7/7/2009,-0.113119038,-0.113061068,-0.110149893,0.145816356,0.145063131,0.153689648
8/7/2009,0.003241932,0.006781128,0.008357524,-0.318142653,-0.321177791,-0.329585113
9/7/2009,-0.018141811,-0.017108649,-0.021716598,-0.664986627,-0.665262969,-0.668283936
10/7/2009,0.038366651,0.039691664,0.036983101,-0.846315254,-0.845902927,-0.840524762
13/7/2009,-0.195489295,-0.192645059,-0.189139993,-0.839933918,-0.839545445,-0.834575772
14/7/2009,-0.051325308,-0.050670928,-0.057341422,-0.831695738,-0.831719864,-0.826971803
15/7/2009,-0.142523195,-0.141264696,-0.145968915,-0.816243724,-0.816614931,-0.814523799
16/7/2009,0.007999169,0.008701867,-0.003449043,-0.736423419,-0.737158772,-0.733542791
17/7/2009,-0.192237209,-0.190850259,-0.195605656,-0.508718803,-0.510842123,-0.504844818
20/7/2009,-0.295872858,-0.294732026,-0.300598999,-0.402528848,-0.405070305,-0.395141043
21/7/2009,-0.59060269,-0.591505357,-0.590078826,-0.222529044,-0.227931312,-0.220684621
22/7/2009,-0.401494152,-0.404388463,-0.405671557,0.189980647,0.176997363,0.1745195
23/7/2009,-0.376857278,-0.381419978,-0.382003146,0.272692855,0.258598691,0.26073983
24/7/2009,-0.474823952,-0.474715666,-0.476542798,0.295988628,0.283286144,0.287427982
27/7/2009,-0.481714857,-0.484007634,-0.486241072,0.394475236,0.385392398,0.391988021
28/7/2009,-0.323257592,-0.323886109,-0.3245347,-0.086036391,-0.094972851,-0.092292564
29/7/2009,-0.202340814,-0.206554407,-0.205399161,-0.21710954,-0.223109317,-0.221773107
30/7/2009,-0.005998745,0.040575602,0.038110717,-0.021369953,0.061357197,0.056882657
31/7/2009,0.02558717,0.085230172,0.081828741,0.354964024,0.415927817,0.40806189
3/8/2009,-0.243477787,-0.22575731,-0.222721411,0.498979355,0.541761566,0.5358419
4/8/2009,-0.14301961,-0.11199132,-0.108954264,0.416845395,0.509511566,0.50089807
5/8/2009,-0.098494262,-0.068494639,-0.064281169,0.34489412,0.471761137,0.45799037
6/8/2009,0.161798319,0.160104003,0.158176235,0.519394025,0.592209216,0.580078515
7/8/2009,0.239851048,0.202862544,0.201471969,0.519929621,0.590710763,0.592622074
10/8/2009,0.244559901,0.238705889,0.241223372,0.650022427,0.690645357,0.69547291
11/8/2009,-0.351521239,-0.337656922,-0.307883473,0.653805474,0.694755689,0.712415323
12/8/2009,-0.182928558,-0.166379064,-0.14431579,0.570317713,0.594322469,0.617440314
13/8/2009,-0.175202116,-0.157157494,-0.129473297,0.579895503,0.592543747,0.612919497
14/8/2009,-0.014158786,0.033108958,0.065619707,0.57979752,0.576613487,0.59054622
17/8/2009,-0.232669875,-0.155233358,-0.11889182,0.080688333,-0.008498809,-0.035129454
18/8/2009,-0.232394609,-0.126428363,-0.078974589,0.051831919,-0.075569651,-0.118503681
19/8/2009,-0.169661198,-0.112385959,-0.105531872,0.100982147,-0.049031243,-0.106958357
20/8/2009,-0.054536749,0.038484147,0.077102477,0.311346836,0.14597307,0.082422601
21/8/2009,0.111860001,0.227127436,0.279328747,0.444518566,0.310414806,0.266116896
24/8/2009,-0.047047124,0.025329885,0.030455979,0.526377832,0.426330209,0.376438024
25/8/2009,0.01196544,0.015783851,0.007903252,0.548939345,0.490664343,0.450133611
26/8/2009,-0.04450922,-0.03656533,-0.04429709,0.364829059,0.309627728,0.269577289
